rok;mesic;sezona;druh;pocet
1985;12;1985/1986;Barbastella barbastellus;0
1986;02;1985/1986;Barbastella barbastellus;0
1985;12;1985/1986;Eptesicus serotinus;0
1986;02;1985/1986;Eptesicus serotinus;0
1985;12;1985/1986;Myotis emarginatus;0
1986;02;1985/1986;Myotis emarginatus;0
1985;12;1985/1986;Myotis bechsteinii;0
1986;02;1985/1986;Myotis bechsteinii;0
1986;12;1986/1987;celkem;6
1987;02;1986/1987;celkem;12
1986;12;1986/1987;Myotis nattereri;2
1987;02;1986/1987;Myotis nattereri;5
1986;12;1986/1987;Myotis daubentonii;1
1987;02;1986/1987;Myotis daubentonii;5
1986;12;1986/1987;Myotis myotis;1
1987;02;1986/1987;Myotis myotis;1
1986;12;1986/1987;Plecotus auritus;1
1987;02;1986/1987;Plecotus auritus;1
1986;12;1986/1987;Myotis mystacinus;0
1987;02;1986/1987;Myotis mystacinus;0
1986;12;1986/1987;Myotis brandtii;1
1987;02;1986/1987;Myotis brandtii;0
1986;12;1986/1987;Barbastella barbastellus;0
1987;02;1986/1987;Barbastella barbastellus;0
1986;12;1986/1987;Eptesicus serotinus;0
1987;02;1986/1987;Eptesicus serotinus;0
1986;12;1986/1987;Myotis emarginatus;0
1987;02;1986/1987;Myotis emarginatus;0
1986;12;1986/1987;Myotis bechsteinii;0
1987;02;1986/1987;Myotis bechsteinii;0
1987;12;1987/1988;celkem;16
1988;02;1987/1988;celkem;30
1987;12;1987/1988;Myotis nattereri;6
1988;02;1987/1988;Myotis nattereri;23
1987;12;1987/1988;Myotis daubentonii;2
1988;02;1987/1988;Myotis daubentonii;3
1987;12;1987/1988;Myotis myotis;1
1988;02;1987/1988;Myotis myotis;3
1987;12;1987/1988;Plecotus auritus;7
1988;02;1987/1988;Plecotus auritus;1
1987;12;1987/1988;Myotis mystacinus;0
1988;02;1987/1988;Myotis mystacinus;0
1987;12;1987/1988;Myotis brandtii;0
1988;02;1987/1988;Myotis brandtii;0
1987;12;1987/1988;Barbastella barbastellus;0
1988;02;1987/1988;Barbastella barbastellus;0
1987;12;1987/1988;Eptesicus serotinus;0
1988;02;1987/1988;Eptesicus serotinus;0
1987;12;1987/1988;Myotis emarginatus;0
1988;02;1987/1988;Myotis emarginatus;0
1987;12;1987/1988;Myotis bechsteinii;0
1988;02;1987/1988;Myotis bechsteinii;0
1988;12;1988/1989;celkem;38
1989;02;1988/1989;celkem;106
1988;12;1988/1989;Myotis nattereri;16
1989;02;1988/1989;Myotis nattereri;73
1988;12;1988/1989;Myotis daubentonii;6
1989;02;1988/1989;Myotis daubentonii;9
1988;12;1988/1989;Myotis myotis;0
1989;02;1988/1989;Myotis myotis;8
1988;12;1988/1989;Plecotus auritus;16
1989;02;1988/1989;Plecotus auritus;16
1988;12;1988/1989;Myotis mystacinus;0
1989;02;1988/1989;Myotis mystacinus;0
1988;12;1988/1989;Myotis brandtii;0
1989;02;1988/1989;Myotis brandtii;0
1988;12;1988/1989;Barbastella barbastellus;0
1989;02;1988/1989;Barbastella barbastellus;0
1988;12;1988/1989;Eptesicus serotinus;0
1989;02;1988/1989;Eptesicus serotinus;0
1988;12;1988/1989;Myotis emarginatus;0
1989;02;1988/1989;Myotis emarginatus;0
1988;12;1988/1989;Myotis bechsteinii;0
1989;02;1988/1989;Myotis bechsteinii;0
1989;12;1989/1990;celkem;41
1990;02;1989/1990;celkem;92
1989;12;1989/1990;Myotis nattereri;21
1990;02;1989/1990;Myotis nattereri;54
1989;12;1989/1990;Myotis daubentonii;8
1990;02;1989/1990;Myotis daubentonii;14
1989;12;1989/1990;Myotis myotis;5
1990;02;1989/1990;Myotis myotis;11
1989;12;1989/1990;Plecotus auritus;7
1990;02;1989/1990;Plecotus auritus;13
1989;12;1989/1990;Myotis mystacinus;0
1990;02;1989/1990;Myotis mystacinus;0
1989;12;1989/1990;Myotis brandtii;0
1990;02;1989/1990;Myotis brandtii;0
1989;12;1989/1990;Barbastella barbastellus;0
1990;02;1989/1990;Barbastella barbastellus;0
1989;12;1989/1990;Eptesicus serotinus;0
1990;02;1989/1990;Eptesicus serotinus;0
1989;12;1989/1990;Myotis emarginatus;0
1990;02;1989/1990;Myotis emarginatus;0
1989;12;1989/1990;Myotis bechsteinii;0
1990;02;1989/1990;Myotis bechsteinii;0
1990;12;1990/1991;celkem;15
1991;02;1990/1991;celkem;53
1990;12;1990/1991;Myotis nattereri;8
1991;02;1990/1991;Myotis nattereri;33
1990;12;1990/1991;Myotis daubentonii;1
1991;02;1990/1991;Myotis daubentonii;4
1990;12;1990/1991;Myotis myotis;1
1991;02;1990/1991;Myotis myotis;12
1990;12;1990/1991;Plecotus auritus;4
1991;02;1990/1991;Plecotus auritus;2
